TXNAME	TXSYMBOL
FBtr0082769	CG9813-RE
FBtr0082770	CG9813-RF
FBtr0082765	CG9813-RB
FBtr0082766	CG9813-RA
FBtr0082767	CG9813-RC
FBtr0082768	CG9813-RD
FBtr0335460	CG9813-RG
FBtr0082771	Lip3-RA
FBtr0082775	wntD-RA
FBtr0082776	apn-RA
FBtr0082778	TBC1D5-RA
FBtr0082779	Ravus-RA
FBtr0082780	Ace-RA
FBtr0300486	Ace-RB
FBtr0335223	Ace-RC
FBtr0082781	CG8476-RA
FBtr0082782	CG8483-RA
FBtr0082783	CG8508-RA
FBtr0336956	Ir87a-RB
FBtr0082785	Act87E-RA
FBtr0082786	Act87E-RB
FBtr0346242	Act87E-RC
FBtr0082788	CG14370-RA
FBtr0082789	CG14369-RA
FBtr0082790	CG31337-RA
FBtr0082791	CG12538-RA
FBtr0309273	asRNA:CR17025-RB
FBtr0082793	yrt-RA
FBtr0114374	yrt-RB
FBtr0114375	yrt-RC
FBtr0114376	yrt-RD
FBtr0082794	CG9269-RA
FBtr0082795	CG10841-RA
FBtr0309093	CG10841-RB
FBtr0082797	rin-RB
FBtr0082799	rin-RE
FBtr0346346	rin-RF
FBtr0346347	rin-RG
FBtr0082812	Lkb1-RE
FBtr0082813	Lkb1-RF
FBtr0082814	Lkb1-RH
FBtr0082815	Lkb1-RI
FBtr0082808	Lkb1-RA
FBtr0082809	Lkb1-RB
FBtr0082810	Lkb1-RC
FBtr0082811	Lkb1-RD
FBtr0301488	Lkb1-RJ
FBtr0082817	flfl-RB
FBtr0114604	flfl-RD
FBtr0344783	flfl-RE
FBtr0082819	CG14367-RA
FBtr0082820	ninaB-RA
FBtr0082821	Adgf-C-RA
FBtr0082825	CG9312-RA
FBtr0082826	Cht5-RA
FBtr0082828	CG9297-RB
FBtr0082827	CG9297-RA
FBtr0333191	CG9297-RC
FBtr0333192	CG9297-RD
FBtr0333193	CG9297-RE
FBtr0082829	CG9288-RA
FBtr0082830	CG9286-RA
FBtr0082831	Dip-B-RA
FBtr0082832	Dip-B-RC
FBtr0082833	Dip-B-RB
FBtr0345229	Dip-B-RD
FBtr0082834	tRNA:Phe-GAA-1-6-RA
FBtr0082836	tRNA:Phe-GAA-1-7-RA
FBtr0082845	Adgf-D-RA
FBtr0082846	f-cup-RA
FBtr0082847	f-cup-RB
FBtr0112937	f-cup-RC
FBtr0112938	f-cup-RD
FBtr0112939	f-cup-RE
FBtr0334526	f-cup-RF
FBtr0334527	f-cup-RG
FBtr0334528	f-cup-RH
FBtr0334529	f-cup-RI
FBtr0082848	omd-RA
FBtr0334530	omd-RB
FBtr0334531	omd-RC
FBtr0082849	CG9588-RA
FBtr0301654	Task6-RC
FBtr0334492	Task6-RD
FBtr0334493	Task6-RE
FBtr0334494	Task6-RF
FBtr0082851	Hrb87F-RA
FBtr0300590	Hrb87F-RC
FBtr0310621	Hrb87F-RD
FBtr0334495	Hrb87F-RE
FBtr0082853	Rbp4-RA
FBtr0082860	CG9757-RA
FBtr0334496	CG9757-RB
FBtr0082861	CG9759-RA
FBtr0344643	CG9759-RC
FBtr0082862	CG9759-RB
FBtr0082863	ems-RA
FBtr0082864	CG31517-RA
FBtr0344411	CG31517-RB
FBtr0082865	Ipp-RA
FBtr0082866	Orc2-RA
FBtr0082869	CG3061-RA
FBtr0082870	CG9922-RA
FBtr0334297	CG9922-RB
FBtr0082876	CG9925-RA
FBtr0082877	CG9926-RA
FBtr0347152	CG9926-RB
FBtr0082878	Art6-RA
FBtr0082879	Art9-RA
FBtr0082880	E5-RA
FBtr0082881	CG14362-RA
FBtr0082882	CG31495-RA
FBtr0344765	CG31495-RB
FBtr0082884	Mst87F-RA
FBtr0346062	Mst87F-RB
FBtr0305052	foxo-RF
FBtr0082886	foxo-RB
FBtr0082887	foxo-RC
FBtr0337094	foxo-RG
FBtr0346723	foxo-RH
FBtr0082888	Npc2b-RB
FBtr0082889	Npc2b-RA
FBtr0082890	Or88a-RA
FBtr0082891	twf-RA
FBtr0082894	CG3199-RA
FBtr0082895	MetRS-m-RA
FBtr0337021	MetRS-m-RB
FBtr0347148	MetRS-m-RC
FBtr0300059	CG9616-RB
FBtr0082897	CG9624-RA
FBtr0082898	CG9631-RA
FBtr0300406	Sp212-RC
FBtr0082900	CG33109-RA
FBtr0082901	CG31326-RA
FBtr0082902	CG9649-RA
FBtr0290283	Dop1R1-RB
FBtr0301351	Dop1R1-RC
FBtr0308191	Dop1R1-RD
FBtr0330711	Dop1R1-RE
FBtr0346763	Dop1R1-RF
FBtr0082904	CG31327-RA
FBtr0082905	CG31533-RA
FBtr0082906	CG9722-RA
FBtr0082907	CG14355-RA
FBtr0082908	CG14356-RA
FBtr0082909	140up-RA
FBtr0337095	140up-RB
FBtr0082910	Abi-RA
FBtr0307076	Abi-RC
FBtr0307077	Abi-RD
FBtr0112896	Abi-RB
FBtr0337096	Abi-RE
FBtr0337097	Abi-RF
FBtr0082912	Kif19A-RB
FBtr0301280	CG14357-RB
FBtr0082914	CG12402-RA
FBtr0330081	CG12402-RB
FBtr0346767	CG12402-RC
FBtr0082917	CG9920-RA
FBtr0113232	CCHa1-RB
FBtr0082919	tRNA:Ser-GCT-2-2-RA
FBtr0082920	CG14839-RA
FBtr0082924	IFT54-RA
FBtr0082925	Polr2I-RA
FBtr0309995	Polr2I-RB
FBtr0346348	Polr2I-RC
FBtr0082926	CG31321-RB
FBtr0082927	Crz-RA
FBtr0082929	PR-Set7-RA
FBtr0082930	PR-Set7-RB
FBtr0309996	PR-Set7-RD
FBtr0082931	ATPsynE-RA
FBtr0082932	ATPsynE-RB
FBtr0303795	ATPsynE-RC
FBtr0082933	spn-B-RA
FBtr0082940	soti-RA
FBtr0082941	NK7.1-RA
FBtr0082942	NK7.1-RB
FBtr0306742	NK7.1-RC
FBtr0347151	NK7.1-RD
FBtr0082943	HEATR2-RA
FBtr0310000	Afti-RC
FBtr0310001	Afti-RD
FBtr0273391	Afti-RB
FBtr0474641	Afti-RE
FBtr0082946	su(Hw)-RA
FBtr0082945	su(Hw)-RB
FBtr0310002	su(Hw)-RC
FBtr0082951	CG14841-RA
FBtr0082952	CG14840-RA
FBtr0082953	mRpL11-RA
FBtr0082954	Cyp313a1-RA
FBtr0082955	CG14850-RA
FBtr0082956	CG14851-RA
FBtr0082957	CG14852-RA
FBtr0082959	stumps-RB
FBtr0112893	stumps-RC
FBtr0334955	stumps-RD
FBtr0334956	stumps-RE
FBtr0334957	stumps-RF
FBtr0082960	CG14853-RB
FBtr0082961	CG14853-RA
FBtr0334028	CG14853-RC
FBtr0082962	His4r-RA
FBtr0082963	His4r-RB
FBtr0082964	His4r-RC
FBtr0334029	His4r-RD
FBtr0344279	Cad88C-RB
FBtr0082966	CG3505-RA
FBtr0082968	Hexim-RB
FBtr0082967	Hexim-RA
FBtr0082969	BigH1-RA
FBtr0082974	Rad17-RA
FBtr0082976	CG7886-RA
FBtr0082977	put-RA
FBtr0334030	put-RC
FBtr0330227	put-RB
FBtr0082978	CG7987-RA
FBtr0082979	CG7987-RB
FBtr0082980	Cys-RA
FBtr0082981	CG8066-RA
FBtr0334959	CG8066-RB
FBtr0082982	CG31313-RA
FBtr0334960	CG31313-RB
FBtr0334961	CG31313-RC
FBtr0082983	CG8087-RA
FBtr0113233	CG14854-RB
FBtr0300330	Pde6-RB
FBtr0330048	Pde6-RC
FBtr0345168	Pde6-RD
FBtr0082986	CG8461-RA
FBtr0082987	HtrA2-RA
FBtr0330045	HtrA2-RB
FBtr0082991	CG14855-RA
FBtr0082992	CG14856-RA
FBtr0082993	CG14857-RA
FBtr0082994	CG3610-RA
FBtr0082997	CG3631-RC
FBtr0114533	CG3631-RD
FBtr0344378	CG3631-RE
FBtr0082998	CG33331-RA
FBtr0082999	CG33332-RA
FBtr0083000	UQCR-C1-RA
FBtr0083001	UQCR-C1-RB
FBtr0289976	CG14860-RB
FBtr0083003	CG3817-RA
FBtr0083004	Sdr-RA
FBtr0346103	Sdr-RB
FBtr0083005	VhaPPA1-1-RA
FBtr0308030	VhaPPA1-1-RB
FBtr0083006	RpS5b-RA
FBtr0308031	RpS5b-RB
FBtr0083008	Nup93-2-RA
FBtr0083009	Dph2-RA
FBtr0083010	CycC-RA
FBtr0113235	Rrp6-RB
FBtr0346063	Rrp6-RC
FBtr0331700	CG7362-RB
FBtr0083016	smp-30-RA
FBtr0083017	smp-30-RB
FBtr0336877	smp-30-RC
FBtr0336878	smp-30-RD
FBtr0083018	eff-RA
FBtr0310554	eff-RB
FBtr0336876	eff-RC
FBtr0083019	CG7530-RA
FBtr0083020	CG7530-RB
FBtr0083021	CG7530-RC
FBtr0333277	CG7530-RD
FBtr0083023	CG14861-RA
FBtr0083024	RpL10Aa-RA
FBtr0083025	CG3984-RA
FBtr0083026	CG3987-RA
FBtr0083029	Kpc1-RA
FBtr0306246	Kpc1-RB
FBtr0083032	Mf-RC
FBtr0083033	Mf-RD
FBtr0083034	Mf-RE
FBtr0083030	Mf-RA
FBtr0083031	Mf-RB
FBtr0302142	Mf-RF
FBtr0302143	Mf-RG
FBtr0302144	Mf-RH
FBtr0302145	Mf-RI
FBtr0302146	Mf-RJ
FBtr0306642	Mf-RK
FBtr0306643	Mf-RL
FBtr0306644	Mf-RM
FBtr0334927	Mf-RN
FBtr0334928	Mf-RO
FBtr0345219	Mf-RP
FBtr0345220	Mf-RQ
FBtr0083038	CG6912-RA
FBtr0113236	CG6966-RB
FBtr0344380	CG6966-RC
FBtr0083042	CG6974-RA
FBtr0083048	Mau2-RA
FBtr0083049	CG4210-RA
FBtr0083051	CG12241-RA
FBtr0083053	mRpS10-RA
FBtr0083054	mRpS10-RB
FBtr0083062	Set-RA
FBtr0083063	ATPsynO-RA
FBtr0290018	Zip88E-RB
FBtr0083066	CG4338-RA
FBtr0083078	Tm2-RA
FBtr0083079	Tm2-RB
FBtr0083080	Tm2-RC
FBtr0333920	Tm2-RE
FBtr0339530	Tm2-RF
FBtr0345212	Tm2-RG
FBtr0083081	CG14866-RA
FBtr0273405	CG14866-RB
FBtr0083082	ear-RA
FBtr0330039	ear-RB
FBtr0334695	ear-RC
FBtr0083083	ea-RA
FBtr0334588	ea-RB
FBtr0083084	mRpL9-RA
FBtr0083085	Cyfip-RA
FBtr0083086	SerRS-m-RA
FBtr0334589	SerRS-m-RB
FBtr0083087	CG31301-RA
FBtr0083089	CG5038-RA
FBtr0083090	CG5044-RA
FBtr0083091	CG5044-RB
FBtr0083093	Trax-RB
FBtr0347564	Trax-RC
FBtr0083094	Ccm3-RA
FBtr0083099	Atx2-RB
FBtr0083100	Atx2-RC
FBtr0344377	Atx2-RD
FBtr0113239	CG6118-RB
FBtr0113240	CG6118-RC
FBtr0334631	CG6118-RD
FBtr0083105	CG6125-RB
FBtr0083106	CG6125-RA
FBtr0346109	CG6125-RC
FBtr0083107	h-cup-RA
FBtr0303235	CG6136-RB
FBtr0303236	CG6136-RC
FBtr0332540	CG6136-RD
FBtr0083109	CG14868-RA
FBtr0083113	CG6171-RA
FBtr0112926	CG6171-RB
FBtr0083114	Cog2-RA
FBtr0083115	Atg4b-RA
FBtr0083117	Surf4-RA
FBtr0083119	CG6218-RA
FBtr0334590	CG6218-RB
FBtr0083120	Fkbp39-RA
FBtr0083121	CG6236-RB
FBtr0083122	CG6236-RA
FBtr0083123	CG6276-RA
FBtr0479890	l(3)neo43-RD
FBtr0479891	l(3)neo43-RE
FBtr0083125	MRG15-RA
FBtr0333921	MRG15-RB
FBtr0083126	Cp190-RA
FBtr0083127	Cp190-RB
FBtr0083128	CG14864-RA
FBtr0110811	CG14864-RB
FBtr0113238	Amt-RB
FBtr0110874	tefu-RB
FBtr0083134	Art3-RA
FBtr0083135	Art3-RB
FBtr0083136	CG31344-RA
FBtr0083137	Polr2G-RA
FBtr0083138	SIDL-RA
FBtr0083139	CG6654-RA
FBtr0083140	Spn88Eb-RA
FBtr0083141	Spn88Ea-RA
FBtr0083142	Spn88Ea-RB
FBtr0083143	Act88F-RA
FBtr0083145	B9d1-RA
FBtr0480497	Rh6-RD
FBtr0083147	obe-RA
FBtr0083148	maca-RA
FBtr0083150	AOX4-RA
FBtr0083151	AOX3-RA
FBtr0433535	AOX3-RB
FBtr0345258	AOX2-RC
FBtr0083155	CG31296-RA
FBtr0334558	CG31296-RB
FBtr0300174	Trissin-RB
FBtr0083162	pxb-RB
FBtr0334025	pxb-RC
FBtr0083163	CG31446-RA
FBtr0334026	CG31446-RB
FBtr0083164	CG5399-RA
FBtr0334027	CG5399-RB
FBtr0083165	CG5404-RA
FBtr0083167	CG4520-RA
FBtr0344379	CG4520-RB
FBtr0083169	CG12784-RA
FBtr0083170	Ttc26-RA
FBtr0083171	CG5614-RA
FBtr0083172	CG9590-RA
FBtr0083173	Uros2-RA
FBtr0083174	Acyp2-RA
FBtr0334591	Acyp2-RB
FBtr0307203	CG9593-RB
FBtr0083179	alpha-Man-IIb-RA
FBtr0334593	alpha-Man-IIb-RB
FBtr0345238	alpha-Man-IIb-RC
FBtr0083180	CG4576-RA
FBtr0300570	Arpc3A-RC
FBtr0334594	Arpc3A-RE
FBtr0083183	spn-E-RA
FBtr0083184	CG4546-RA
FBtr0083185	CG9632-RA
FBtr0083186	CG9632-RB
FBtr0083187	CG31183-RA
FBtr0346151	CG31183-RB
FBtr0083188	Hmt-1-RA
FBtr0083190	Pbp45-RA
FBtr0083191	ND-23-RA
FBtr0083193	rec-RA
FBtr0334595	rec-RB
FBtr0083194	c(3)G-RA
FBtr0083195	c(3)G-RB
FBtr0083196	c(3)G-RC
FBtr0083197	CG5623-RA
FBtr0083198	CG31294-RA
FBtr0304144	CR31292-RB
FBtr0345275	CR31292-RC
FBtr0083200	EndoU-RA
FBtr0083201	Fbxl7-RA
FBtr0083203	blp-RA
FBtr0345214	blp-RB
FBtr0083204	Sap47-RA
FBtr0083205	Sap47-RB
FBtr0083206	Sap47-RC
FBtr0083207	Sap47-RD
FBtr0083208	Sap47-RE
FBtr0083209	Sap47-RF
FBtr0083210	Sap47-RG
FBtr0301655	Sap47-RI
FBtr0344384	Sap47-RK
FBtr0310672	Sap47-RJ
FBtr0474164	Sap47-RL
FBtr0474165	Sap47-RM
FBtr0083212	CG5516-RA
FBtr0302549	CG5516-RB
FBtr0083213	Rbf2-RA
FBtr0301715	Hel89B-RB
FBtr0344471	Hel89B-RC
FBtr0083218	GATAe-RA
FBtr0303260	GATAe-RB
FBtr0303261	GATAe-RC
FBtr0083220	pnr-RB
FBtr0083221	pnr-RA
FBtr0335426	pnr-RC
FBtr0335427	pnr-RD
FBtr0083222	CG10264-RA
FBtr0083223	CG5013-RA
FBtr0304801	msps-RD
FBtr0304802	msps-RE
FBtr0304803	msps-RF
FBtr0301479	msps-RB
FBtr0301480	msps-RC
FBtr0083225	sxe2-RA
FBtr0345306	sxe2-RB
FBtr0083226	Akt-RB
FBtr0083227	Akt-RA
FBtr0083228	Akt-RC
FBtr0344470	Akt-RD
FBtr0344717	Akt-RE
FBtr0083234	CG32855-RA
FBtr0083235	CG10185-RA
FBtr0304804	IKKbeta-RB
FBtr0083237	CG10407-RA
FBtr0347558	CG10407-RC
FBtr0336487	CG10407-RB
FBtr0083238	mor-RA
FBtr0302550	mor-RB
FBtr0083239	CG32856-RA
FBtr0302551	CG32856-RB
FBtr0083240	CG4287-RA
FBtr0301716	CG4287-RB
FBtr0474098	CG31088-RB
FBtr0083242	CG5478-RA
FBtr0083245	glob1-RC
FBtr0083246	glob1-RB
FBtr0083247	glob1-RA
FBtr0083248	glob1-RD
FBtr0300895	glob1-RE
FBtr0344381	glob1-RF
FBtr0083249	CG14877-RA
FBtr0083250	Sb-RA
FBtr0344008	Sb-RB
FBtr0083251	CG5916-RA
FBtr0344009	CG5916-RB
FBtr0083252	CG6006-RB
FBtr0113477	CG6006-RC
FBtr0309301	CG6006-RD
FBtr0309302	CG6006-RE
FBtr0309303	CG6006-RF
FBtr0083253	CG8925-RA
FBtr0113241	CG8925-RB
FBtr0083256	CG31287-RA
FBtr0345259	CG31287-RB
FBtr0083257	tara-RA
FBtr0083258	tara-RB
FBtr0083259	asun-RA
FBtr0083260	Mst89B-RA
FBtr0083266	Zip89B-RA
FBtr0083267	tRNA:Phe-GAA-1-8-RA
FBtr0083268	tRNA:Val-AAC-1-1-RA
FBtr0083269	CG6901-RA
FBtr0273219	CG17929-RB
FBtr0083271	CG17930-RA
FBtr0083273	Sulf1-RA
FBtr0334699	Sulf1-RB
FBtr0334700	Sulf1-RC
FBtr0083278	CG6126-RA
FBtr0083279	Bin1-RA
FBtr0347200	Bin1-RB
FBtr0347201	Bin1-RC
FBtr0344010	Fer2-RC
FBtr0344011	Fer2-RD
FBtr0344012	Fer2-RE
FBtr0301709	Fer2-RB
FBtr0083281	Mic26-27-RA
FBtr0344013	Mic26-27-RB
FBtr0347199	Mic26-27-RC
FBtr0301514	pad-RB
FBtr0083283	Manf-RA
FBtr0301433	CG31279-RB
FBtr0301434	CG31279-RC
FBtr0310428	CG31279-RD
FBtr0310429	CG31279-RE
FBtr0337013	CG31279-RF
FBtr0337014	CG31279-RG
FBtr0083285	tRNA:Thr-AGT-1-4-RA
FBtr0083286	Fntb-RA
FBtr0083287	CG14881-RA
FBtr0083288	CG14881-RB
FBtr0083289	CG14882-RA
FBtr0337015	CG14882-RB
FBtr0110773	CG10405-RB
FBtr0083291	CG14883-RA
FBtr0083292	CSN5-RA
FBtr0334535	CSN5-RB
FBtr0110962	Gyc89Da-RB
FBtr0110963	Gyc89Da-RC
FBtr0083294	Gyc89Db-RA
FBtr0083301	CG14891-RA
FBtr0083303	CG14903-RA
FBtr0083304	Decay-RA
FBtr0301702	Cad89D-RB
FBtr0083307	Der-2-RA
FBtr0083308	Sdhaf3-RA
FBtr0083312	Pak3-RA
FBtr0330047	Pak3-RD
FBtr0305003	Pak3-RC
FBtr0083314	CG14894-RA
FBtr0337016	CG14894-RB
FBtr0083316	mRpS33-RA
FBtr0083317	tRNA:Thr-AGT-1-3-RA
FBtr0083318	ss-RA
FBtr0306026	ss-RC
FBtr0306027	ss-RD
FBtr0300677	CG10317-RC
FBtr0300678	CG10317-RD
FBtr0083321	CG14880-RB
FBtr0083320	CG14880-RA
FBtr0083323	CG17931-RA
FBtr0332177	CG17931-RC
FBtr0392900	CG17931-RE
FBtr0345208	CG17931-RD
FBtr0083324	CG10311-RA
FBtr0345202	CG10311-RB
FBtr0083325	CG14879-RA
FBtr0083326	CG14879-RB
FBtr0334733	CG14879-RC
FBtr0345255	CG14879-RD
FBtr0083327	CG14892-RA
FBtr0083328	NPF-RA
FBtr0331685	NPF-RB
FBtr0331686	NPF-RC
FBtr0083329	CG17562-RA
FBtr0083330	CG17560-RA
FBtr0300865	CG14893-RB
FBtr0083335	nonA-l-RA
FBtr0333727	nonA-l-RB
FBtr0083336	Arl6IP1-RA
FBtr0333728	Arl6IP1-RB
FBtr0083337	CCT3-RA
FBtr0083338	CCT3-RB
FBtr0302370	CCT3-RC
FBtr0302371	CCT3-RD
FBtr0083340	Glut3-RA
FBtr0083341	lncRNA:bxd-RD
FBtr0083342	lncRNA:bxd-RA
FBtr0083343	lncRNA:bxd-RB
FBtr0083344	lncRNA:bxd-RC
FBtr0083346	CG31275-RA
FBtr0083347	Ubx-RA
FBtr0083348	Ubx-RB
FBtr0083349	Ubx-RC
FBtr0083350	Ubx-RD
FBtr0083351	Ubx-RE
FBtr0083352	Ubx-RF
FBtr0083353	modSP-RA
FBtr0479872	CG14907-RC
FBtr0336486	Mettl4-RC
FBtr0083356	CG10324-RA
FBtr0083357	CG14905-RA
FBtr0083358	CG10340-RA
FBtr0083360	CG10345-RA
FBtr0083361	Scp2-RA
FBtr0083366	VhaM9.7-d-RA
FBtr0083367	MESK4-RA
FBtr0337059	MESK4-RB
FBtr0083370	CG3534-RA
FBtr0083371	Irc-RA
FBtr0337060	Irc-RB
FBtr0083372	CG8907-RA
FBtr0305271	CG8907-RB
FBtr0083373	AdSL-RA
FBtr0083375	EMC2A-RA
FBtr0337063	EMC2A-RB
FBtr0083376	EMC2B-RA
FBtr0337064	EMC2B-RB
FBtr0083377	CG18622-RA
FBtr0346338	CG18622-RC
FBtr0337065	CG18622-RB
FBtr0083378	AhcyL2-RC
FBtr0083379	AhcyL2-RD
FBtr0083380	Actn3-RA
FBtr0083381	Abd-B-RC
FBtr0083382	Abd-B-RA
FBtr0083383	Abd-B-RD
FBtr0083384	Abd-B-RB
FBtr0083385	Abd-B-RE
FBtr0330709	Abd-B-RF
FBtr0346764	Abd-B-RG
FBtr0415463	Abd-B-RH
FBtr0415464	Abd-B-RI
FBtr0415465	Abd-B-RJ
FBtr0083388	abd-A-RB
FBtr0083387	abd-A-RA
FBtr0300485	abd-A-RC
FBtr0306337	abd-A-RD
FBtr0083389	CG5225-RA
FBtr0083390	CG31268-RA
FBtr0307190	CG31268-RB
FBtr0083391	Trm7-32-RA
FBtr0083397	kuk-RA
FBtr0083398	kuk-RB
FBtr0305987	kuk-RC
FBtr0083400	cal1-RA
FBtr0113401	CG31269-RB
FBtr0083402	CG31265-RA
FBtr0083404	CG31267-RA
FBtr0083405	CG5246-RA
FBtr0083406	CG5255-RA
FBtr0083407	CG5265-RA
FBtr0083409	Smug-RA
FBtr0083410	CG5292-RA
FBtr0337042	CG5292-RB
FBtr0083411	beat-IIb-RA
FBtr0339173	beat-IIb-RC
FBtr0302852	CG31262-RE
FBtr0302853	CG31262-RF
FBtr0300053	CG31262-RB
FBtr0300361	CG31262-RD
FBtr0334402	Mur89F-RB
FBtr0334403	Mur89F-RC
FBtr0083414	m-cup-RA
FBtr0337043	m-cup-RB
FBtr0083415	TwdlW-RA
FBtr0303413	CG4053-RB
FBtr0083417	CG17475-RA
FBtr0346149	CG17475-RB
FBtr0083418	CG17477-RA
FBtr0083422	Keap1-RA
FBtr0083423	Keap1-RB
FBtr0083424	Keap1-RC
FBtr0083426	Ns1-RA
FBtr0083428	CG3995-RA
FBtr0305129	CG18213-RB
FBtr0339156	CG18213-RC
FBtr0339157	CG18213-RD
FBtr0305130	CG4009-RB
FBtr0337062	CG4009-RC
FBtr0083432	CG31418-RA
FBtr0309516	CG31419-RB
FBtr0083436	sds22-RA
FBtr0083437	CG17283-RA
FBtr0083438	CG5860-RA
FBtr0083439	CG5863-RA
FBtr0303755	CG5866-RB
FBtr0083441	CG33333-RA
FBtr0083442	cysu-RA
FBtr0083443	CG14330-RA
FBtr0083444	Eh-RA
FBtr0334930	Eh-RB
FBtr0113244	CG14331-RC
FBtr0083446	CG14332-RA
FBtr0083447	Sur-8-RA
FBtr0083448	Sur-8-RB
FBtr0339531	Sur-8-RE
FBtr0339532	Sur-8-RF
FBtr0083452	Brf-RA
FBtr0302317	Brf-RB
FBtr0083453	beat-IIa-RA
FBtr0339170	beat-IIa-RB
FBtr0083454	P5cr-2-RA
FBtr0083455	P5cr-2-RB
FBtr0321264	P5cr-2-RC
FBtr0321265	P5cr-2-RD
FBtr0083456	SF1-RA
FBtr0331706	SF1-RB
FBtr0331707	SF1-RC
FBtr0083460	Sgs5bis-RA
FBtr0083461	Sgs5-RA
FBtr0083462	sll-RA
FBtr0305308	sll-RB
FBtr0083463	CG14329-RA
FBtr0083465	CG14327-RA
FBtr0345206	CG14327-RB
FBtr0083466	tRNA:Val-CAC-1-1-RA
FBtr0083467	CG14326-RA
FBtr0083468	tRNA:Ala-AGC-2-2-RA
FBtr0083469	tRNA:Pro-TGG-1-2-RA
FBtr0083470	AttD-RA
FBtr0289974	CG14325-RB
FBtr0083472	tRNA:Pro-TGG-1-3-RA
FBtr0083473	tRNA:Pro-TGG-1-4-RA
FBtr0083474	tRNA:Ala-AGC-2-7-RA
FBtr0083475	tRNA:Ala-AGC-1-1-RA
FBtr0083476	CG14322-RA
FBtr0344347	CG14322-RE
FBtr0331346	CG14322-RB
FBtr0331347	CG14322-RD
FBtr0083477	tRNA:Ala-AGC-2-10-RA
FBtr0083478	Mps1-RA
FBtr0331348	Mps1-RB
FBtr0083479	CG7655-RA
FBtr0083480	CG31360-RA
FBtr0083483	CG31249-RA
FBtr0083484	CG31251-RA
FBtr0083490	CG7523-RA
FBtr0083491	tRNA:Ala-AGC-2-9-RA
FBtr0083492	tRNA:Ala-AGC-2-8-RA
FBtr0083493	tRNA:Ala-AGC-2-6-RA
FBtr0083494	tRNA:Ala-AGC-2-5-RA
FBtr0083495	tRNA:Val-AAC-1-2-RA
FBtr0083496	tRNA:Thr-AGT-1-6-RA
FBtr0083497	tRNA:Thr-AGT-1-5-RA
FBtr0083498	CG14323-RA
FBtr0083499	tRNA:Ala-AGC-2-3-RA
FBtr0083500	CG14324-RA
FBtr0083501	tRNA:Pro-TGG-1-1-RA
FBtr0083502	Edg91-RA
FBtr0300767	Edg91-RB
FBtr0083503	Prx3-RA
FBtr0083504	l(3)07882-RA
FBtr0347218	l(3)07882-RB
FBtr0083505	CG5823-RA
FBtr0321266	CG5823-RB
FBtr0083509	Lgr1-RA
FBtr0083510	Lgr1-RB
FBtr0083511	CG14321-RA
FBtr0083512	TyrRII-RA
FBtr0332173	TyrRII-RB
FBtr0332174	TyrRII-RC
FBtr0344630	TyrRII-RD
FBtr0083513	pasi1-RA
FBtr0305007	pasi1-RB
FBtr0083519	CG12347-RA
FBtr0308497	CG12347-RB
FBtr0083523	Alg1-RA
FBtr0083524	Odj-RA
FBtr0331689	CG17801-RB
FBtr0083526	Nnk-RA
FBtr0083527	CG17806-RA
FBtr0083529	CG7379-RA
FBtr0083532	TyrR-RA
FBtr0344474	TyrR-RB
FBtr0346161	TyrR-RC
FBtr0083533	Atg8b-RA
FBtr0346730	Atg8b-RB
FBtr0083538	DNaseII-RA
FBtr0083539	CG7785-RA
FBtr0083540	CG7794-RA
FBtr0083541	CG14317-RA
FBtr0083542	sr-RA
FBtr0083543	sr-RB
FBtr0301615	sr-RC
FBtr0330050	sr-RD
FBtr0344633	sr-RE
FBtr0083544	tRNA:Gly-TCC-1-3-RA
FBtr0083545	tRNA:Gly-TCC-1-4-RA
FBtr0083546	CG14316-RA
FBtr0083547	CG14315-RA
FBtr0083548	htl-RB
FBtr0083549	htl-RA
FBtr0083550	htl-RC
FBtr0083551	Cbp20-RA
FBtr0083553	wrd-RE
FBtr0083554	wrd-RC
FBtr0083555	wrd-RA
FBtr0083556	wrd-RB
FBtr0083552	wrd-RD
FBtr0290319	wrd-RK
FBtr0290320	wrd-RJ
FBtr0290321	wrd-RI
FBtr0305032	wrd-RL
FBtr0305033	wrd-RM
FBtr0305034	wrd-RN
FBtr0306646	wrd-RO
FBtr0336466	wrd-RP
FBtr0336467	wrd-RQ
FBtr0083557	Arp5-RA
FBtr0336468	Arp5-RB
FBtr0083558	MED17-RA
FBtr0083559	CG7985-RA
FBtr0336469	CG7985-RB
FBtr0083560	CG14314-RA
FBtr0083561	CG7988-RA
FBtr0083562	Non3-RA
FBtr0083564	repo-RA
FBtr0083565	14-3-3epsilon-RA
FBtr0083566	14-3-3epsilon-RB
FBtr0083567	14-3-3epsilon-RC
FBtr0083568	14-3-3epsilon-RD
FBtr0083569	CG18598-RA
FBtr0083571	CG18599-RA
FBtr0083572	eIF1A-RA
FBtr0083573	eIF1A-RB
FBtr0343927	eIF1A-RC
FBtr0083574	CG8064-RA
FBtr0083575	Dlc90F-RA
FBtr0083576	hmw-RA
FBtr0083577	Nup43-RA
FBtr0445667	lncRNA:CR14310-RD
FBtr0083580	CG14309-RA
FBtr0083581	CG7675-RA
FBtr0083582	CG7675-RB
FBtr0083583	CG7675-RC
FBtr0344550	CG7675-RD
FBtr0344551	CG7675-RE
FBtr0083586	WRNexo-RA
FBtr0339976	WRNexo-RC
FBtr0302307	WRNexo-RB
